,uid,iid,score,review
1536,1129,149,2.0,really ' favorite the pizza really greasy i ' even save leftover the chicken alright though 
1538,1253,380,1.0,i agree 1 - 2 star comment this place looks good food nowhere near good restaurant decorative trim ( i sit outside )! i wish i read review eat spend $ 100 meal i could prepare serving food spoil cool this first last visit 
1539,262,193,3.0,my 2 teenage daughter i treat nice dinner roy ' stay resort i ' say bad meal definitely worth high price tag get we decide share 2 appetizer 2 main dish dessert could get taste several thing our bill $ 150 water drink here ' order ... appetizer sampler canoe 3 - one sample per person 5 different appetizer item pretty good presentation beautiful ... i ' iron chef judge i ' rather little quantity high price kalbi spring rolls - fry spring roll korean chojang sauce ( korean red pepper paste ). definitely worth order hibachi salmon - 6 oz salmon cook perfectly w / literally little triangle rice side hawaii short ribs - 6 oz short rib melt mouth tender flavorful warm chocolate souffle - order sit allow 20 minute preparation favorite part meal in short enjoy dinner ambiance location resort property ... i wish would give little bigger portion dish price charge i ' think ' return next visit 
1543,801,123,5.0,i know best salon i lure away chichi north scottsdale salon bell whistle except almost - - - length - i - want hair nearly shoulder - length bang become homage jennifer anniston ( circa friends ). i want speed snapdragon beg forgiveness cheat flash forward month thick ethnic wavy ( plain difficult ) hair grow back enough ready fix sure enough michaela work magic the layer blend virtually disappear one another rather remain like tiered cake yes price bite higher salon get pay what extra dollar spread month i ' skip starbucks two hair look nice every day month !!! only drawback limit park i echo many review ; owner kandi ( sp ?) jenny amaze cut color every circumstance both perfectionist always speak truth ; ' think hair type hold color right cut ' tell i ' overhear talk client want jet black hair blonde ombré ( immediately ) frizzy curly girl straight bob reality check give happy client remain 
1545,521,197,5.0,beautiful attraction the show play every 15 minute coordinate whatever song play can get little crowd may want stick around show get better view would recommend couple family child very enjoyable 
1547,657,120,5.0,is service world - class not really at time stand wait table staff breeze past without much make eye contact i honestly ' care i ' need butt kiss staff what i care good food ping pang pong come department you ' find many american chinese classic know love like sweet sour pork well traditional favorite like fish stew everything masterfully prepare order open kitchen it ' also inexpensive most entree run couple buck ' pay panda express in city fill good chinese food ping pang pong favorite 
1549,957,245,5.0,family operate excellent service il bosco serf excellent pie imports ton item italy we love place 
1552,869,67,5.0,one favorite sushi spot delicious food friendly staff relax atmosphere thing keep come back 
1553,1037,317,5.0,had excellent meal last night daughter husband our first visit ' last from warm greet enter server sweet professional personable onto chef grill enjoyable watch chat right leave another warm comment staff great now food wow my husband steak say melt mouth i seafood combo cook perfection flavourful it treasure fresh i debate yelp people go i may get ha go go go 
1554,1151,84,1.0,very disappoint i order egg benedict trio snd avocado spoil waiter come clean say serve food ?? he say ok let waiter know he tell waitress walk away send bill i want apologize let kitchen manager know mot expect remove check 25 $ wont make rich poor and overall restaurant waiter wynn encore mean professional whoever order check - front waiter eat 
1555,667,63,3.0,"came happy hour last friday really enjoy menu nice relax atmosphere we sit bar order drink apps the margarita marg pizza delicious also brookie only reason lower star blonde bartender bar rude almost cause u leave walk speak it happy hour ' even tell u give u menu i ask we hear later couple next u ask happy hour go oh ' ... oops sorry "". wow the couple obviously annoy i felt annoy the second bartender ( glass dark hair ) come later awesome super friendly talkative make u happy want come back "
1559,954,208,5.0,joe great job carpet sofa great price smile the owner rick get quote record time yelp also respond question mine i email phone call minute i ' ask anything carpet clean service 
1563,432,26,5.0,completely amaze !!!! i slut husband fairfax add avocado bacon we back couple slut this time ' hella long line still worth wait only complaint drink small $ 5 byob back 3rd visit slut gaucho arugula salad gaucho ' 
1564,1269,151,2.0,i get falafel pita fry ' good dry mediocre the fry ' good either it make stomach hurt definitely ' come back 
1566,891,290,2.0,"oh shinto much potential sadly staff go thing bring one day i recently try order sushi roll take - phone since i actually really love sushi even expensive - hence i give two star instead one the host seem le thrill stick 1 : 20 weekday afternoon after hang twice maybe i ' take sign big man upstairs want fulfill sushi crave i finally decide call one time well i ' hang time instead i put hold almost 15 minute while might read say ' thaaaaat long "", imagine walk restaurant you finally get table ignore host 5 minute one greet another 15 you would either walk / never come establishment matter good food but chance ' happen good restaurant decent staff why shinto feel customer order carry - ' important beyond : last time i check i pay food like people din inside after frustration time i simply tell i change mind i ' rather take money elsewhere big disappointment instead pay radio commercial i keep hear holiday season maybe invest better waitstaff "
1567,574,236,5.0,morris ramen authentic ramen kid though ' really good the menu extensive still really good option i warn location little hard find i walk past first time i come otherwise i love everything place 
1573,1106,57,4.0,i great meal friend last weekend the wine reasonably price food the tapa menu perfect din friend allow everyone try lot thing menu we finish right 10 good since ' upstairs apparently turn unto club super loud i ' definitely go back dinner 
1576,1061,294,5.0,there ' enough star justify place let start say stuuupppppid fire best breakfast i ' las vegas staff friendly chef make sure everything good the bacon good the soft shell crab benedict amaze 
1578,856,197,5.0,"i love simplest thing garner star yelp --- else thing bellagio fountain nearer 5 star hotel probably yelp elite member give one star ' blame get sick vegas strange allergy teflon stave top room so mere ten minute fountain show music range classical showbiz leonard bernstein sure must - see vegas it ' one many throw - in offer everyone strip ' never quite see anything like vegas seem obsession waste water aesthetically please way say sin city ' really get "". actually ' good place hang gaze night sky cosmopolitan paris aria luminescent eye candy scrap man - light heaven around extra bonus vibe ' roll get folkloric if nothing else light cig see ' handheld last whole ten minute nice way gauge whether change brand yea "
1579,922,24,4.0,the best dinner buffet i ' ever the variety endless anything everything else ' another buffet better quality preparation went weeknight price verrry reasonable -- le extra $ 5 good buffet mid - strip area extra buck definitely soo worth i give place 4 start although food excellent bellagio i think fair hold higher standard but still great buffet must - vegas list catch free spectacularly beautiful water / fountain show outside full dinner 
1582,770,50,5.0,the atmosphere amazing group mingle day ebc spacious ton people sun - shin saturday even 11am staff pack place still room breathe dance - stage section david guetta get little crowd part experience the sound system great performer guetta ' still get i love get passionate beat smile ear ear he even take pic mosh pit note lady gent prepping club - bag search many item could confiscate - take food include quest bar candy etc pill like ibprophin ' let bring selfie stick - u hold selfie stick $ 35 ... aka ' bother bring 
1584,1301,84,4.0,vegan chicken caesar salad i mean i even say anything else this dish incredibly delectable escalate terrace pointe café best vegan restaurant list if ' need try ps everything else vegan menu also absurdly delicious ' officially obsess steve wynn 
1586,1145,315,1.0,cant remember server name sorry let manager know food issue i dont like send food back kitchen i hear many bad experience people send food back it seem crazy issue like hard rock cafe i appreciate quick reply hope cook kitchen learn check food send that restaurant 101 
1590,1004,208,5.0,fast reliable affordable rick owner professional make sure i ' always satisfy he do several property always make look like new 
1591,195,144,5.0,this place amaze food service first time come fantastic 
1593,1259,340,5.0,bass store excellent selection shoe woman 
1595,727,35,3.0,this hotel pretty cool size room little older i would prefer newly remodel room the location best unless prefer go downtown 
1596,408,283,4.0,beaudevin - all beauty wine great place quick bite leisurely taste wait take this favorite spot charlotte airport offer wine taste tapa / small plate caprese skewers - the caprese skewer serve arugula pleasantly sweet balsamic reduction complement peppery arugula well a simple delicious fresh lite plate knowing caprese skewer lite side i also get shrimp scampi together two small plate hit spot shrimp scampi - the scampi come 8 shrimp nice scampi broth onion tomato garnish cilantro six piece baguette serve side sop yummy scampi broth at first i think would nice 8 piece baguette go 8 shrimp i able make work still leave broth sop the baguette little bigger shrimp make perfectly bite size one thing note : ' cilantro fan ' want ask cilantro leave it ' include menu description ' generous garnish cilantro scampi i enjoy cilantro though lot i partake wine great sound cocktail there ' nice selection 
1599,1336,25,5.0,this place cute i ' one really go many restaurant strip ' overprice i ' want check chica bite friend i go see show decide come to start service amaze i wish i remember server name really sweet attentive experience she great suggestion i even let pick margarita flavor come passion fruit pineapple margarita ( i think ). lol we start guacamole i love plantain chip & baby arepas come nice change typical chip guac it strong lime something i actually love also empanadas ok i could ' go without they ' good best entree friend chicken dish i braise short rib both super cute presentation taste amaze we tres lech dessert end girl inhale needless say love haha in total great experience 
1600,864,9,1.0,total : $ 81 3 people we two family member come sunday night first red flag place completely empty 7 : 00pm the restaurant recommend close friend decide give fair chance roti telur : 8 / 10 - tasty authentic ( favourite night ) young chow fry rice : 6 / 10 - nothing special bland singapore fry mee hoon - 7 / 10 - flavourful many shrimp ( 2 total ) lamb rendang ; 5 / 10 - taste curry bad quality meat terrible sizzling chicken : 7 / 10 : tasty small portion meat for desert choose fry banana grenade absolutely terrible the banana ripe oil fry disgust aftertaste indicate old oil we unimpressed dish overall especially terrible desert meal $ 81 3 people - unsatisfactory 
1601,972,7,3.0,kinda average the best italian il piazziolo 
1607,310,70,5.0,love place the fry guacamole die red potato garbanzo bean burger amaze the dessert a + ' coffee the thing place kinda small place order get little pack ' fine food wonderful the folk work really helpful nice well 
1608,401,239,5.0,i sad see bluephie ' go place fill shoe well everything small plate larger entree awesome ; i particularly like beef tartare avocado toast in fact whole toast section menu great the wait staff bartender friendly knowledgeable i ' twice i ' wait go back 
1609,1284,36,2.0,didn ' like serf take ever get u server maybe come 10 but one deer valley much better 
1610,759,59,5.0,pretty cool place eat rustic style interior different set restaurant chill vibe sure ordered fry chicken side potato delicious !! the potato little duck fat taste amaze the chicken beyond perfect melted mouth our waitress extremely nice top table lived experience food place 
1613,832,338,2.0,it ' go hill far i tell .. the burrito order cold little cheese put ' even close melt .. i ' move ' better choice 
1614,1148,54,5.0,great veggie burger cure fry consistently good you check wonderful quote bathroom wall been time coffee good service responsive 
1616,1192,233,3.0,food great wait long get order service suck 
1619,443,62,5.0,i come last weekend great meal we sit sushi bar bartender ( i ' remember name pregnant ) absolutely fantastic she super quick want mule ' anymore cup as soon one turn bring u mule .... house so kind we enjoy lobster role tuna sashimi die so fresh delicious i great night boyfriend want come back follow night winner bo 
1622,1220,300,5.0,i ' lunch twice wow time amaze so glad veggie option east blvd can ' wait go back next week 
1624,16,327,5.0,just try place first time today the food great i definitely recommend one people work sam really make experience great he always check u get u refill make sure everything great thank sam 
1627,731,145,5.0,upgraded version roberto ' same menu taste price better service quality roberto ' recently change size shrimp cocktail 32oz 22oz ( med drink size ) lot le satisfy especially shrimp cocktail lover i ' prefer frausto ' roberto ' the service lot pleasant 
1629,805,293,3.0,i think i receive bad customer service due go 30 minute close last night ; see review i guess ' case i go look international usb charger charge electronics will country 3 week i clue start after walk around cell phone accessory even make eye contact one blue shirt guy i go find someone he show i get walk away thank hope i ' sol i get i ' go ' compatible country i ' go - definitely research product tonight ( 15 day return i leave 10 ). i go digital camera 2 - 3 worker walk around one ask could help met friend look ink thing no one ask could help what give !? only person i give kudos peggy ; register ring product twice optimal save - see price would price match 15 % discount reward member .... price match cheaper the cashier phone ... 
1633,1226,376,5.0,we go escape room mesa first time birthday party blast !! it first time everyone i understand escape room popular we back thank everyone make experience we back soon !!! 
1635,1091,280,2.0,i tell message business want give gift certificate make bad experience i i go first time i ... twice nothing i would like go back give second chance response give warm fuzzy feel 
1636,1114,12,3.0,the arena nice seat well lay food drink price average stadium choice okay that disappoint since las vegas great food drink option town my biggest frustration t - mobile arena charge park i understand stadium charge people park las vegas park always free the next time i go t - mobile arena i simply park another property walk - nothing far las vegas strip one frustration people upper level delay leave people lower level could exit first t - mobile need get act together develop better crowd control plan 
1637,1159,287,5.0,this place sooo good !!! like ' since i ' good plate thai food and come lunch green curry pad thai noodle let me just tell you the green curry die soo soo sooo good !!! need try place asap so worth inexpensive 
1639,1341,385,1.0,"female review went get sight instal pistol gunsmith paul wysocki caswell stood around counter several worker look ignore went cash registar person continue ignore finally gunsmith come contour introduce self 1st statment get money "". he - hole treated like i ' fit breath air next time i drive distance go anouther place ' bu i ' treat better "
1640,826,338,5.0,i stop car service place conveniently locate humble people run establishment i find warm soon i come my order cook surprisingly fast taste disappoint we need local restaurant like 
1641,1072,158,1.0,horrible the food best basically cheaply make overprice if order delivery good luck get order right ..... even complete order call manager ' always busy ' care le pay take money another pizzaria ' plenty better place 
1642,1079,147,5.0,oh god !!!!!. the fry rice dish amaze red curry superb pad thai average u ' go wrong they ' deliver pick the food come fast hot service right my favorite thai place town 
1643,1345,286,4.0,awesome food very friendly flexible service came lunch order lunch special the meal tasty arrive fast will definitely come back 
1644,1090,229,5.0,the chicken salad dress soooo good & staff super sweet i hardly ever eat mall food next level :) 
1646,1237,348,4.0,this place great need its close sf giants stadium walk distance old town free breakfast we 2 queen bed room nice thing separate sit room there double door separate two room there couch fridge microwave additional tv room the free shuttle within 3 mile radius really nice we also use take u back airport it $ 15 per person i would stay 
1650,1321,380,1.0,pros aesthetic appeal - patio fire decor kitchen music location cons wait staff inexperienced food taste bland took hour half get food inattention detail food / drink preference 
1653,1283,27,1.0,the nandos on mcdowell is 10x better !!!! i love food truly service location certainly 5 point we take friend dinner share important news saturday we arrive 6 : 30 check party 6 tell ' 25 minute wait at 7 : 00 i decide check see much longer tell party already seat i inform little host outside blankly star disbelief i ask much longer say probably another 25 minute they name write along shirt i wear i point saw another woman blue strip tank top arrive party 6 i demand see manager instead get manager go get bartender mean apologetic obvious mistake nothing do suggest try make error leave go across street chipotle i never return gilbert nando ' 
1654,1140,260,3.0,sushi ken hit miss i ' several occasion past couple year i ' order great food good food mediocre food bad food the service vary decent bad yes ask split check automatically add couple extra buck bill without tell a little deceive ask reason i keep go back price great ( ) thier food pretty good japanese restaurant arizona in opinion ' worth try ' walk high expectation food service 
1655,759,262,3.0,i order strawberry gelato ice cream absolutely refresh delicious the store ton cute little item candy cooky etc only reason i ' knock line check insanely long two people behind counter also young lady ( gold lipstick ) help horrible i completely understand get million people come work job so customer service people ' surprise decide get job ( young lady ) she ' talk shake head yes she speak felt like so i ask firmly i ' mango sorbet ( shake head ) finally say ' do not shake head notion tell flavor she almost make walk store horrible !! 
1656,504,49,2.0,i really think average wolfgang puck icon great cuisine i ' impress partially fault i one side replace cream spinach ... which suppose spinach little butter cream not butter cream little spinach the food general unnecessarily heavy cream spinach inedible the staff nice 
1657,560,29,5.0,delicious the food wonderful best enchilada i ' long time our waitress araceli busser ruben friendly quick attentive 
1659,984,102,5.0,delicious hot dog load chunky funky melange top huge portion everything make fresh try bulgogi ( much meat !) hawaiian ( bacon pineapple !). skip chicken wing ( get sauce side otherwise get soggy ). 
1660,224,164,5.0,the beatles count cirque du soleil yea combine two ohh yeaa i ' see enough cirque show know thing bad seat ( unless happen obstruct ) i actually prefer seat back since ' crane neck we perfect view everything back ( performer corner screen ). the show start slow thing really kick gear half way by end i ' cry performance nostalgia end i ' sad ' beautifully choreograph song flow perfectly 
1662,1273,354,5.0,been least 20 time past two year - suck ncounter great little restaurant ambience modern / industrial feel location perfect great food great service reasonable price - importantly seem consistent 
1666,1110,86,5.0,my first time sandy waitress amaze she make first experience memorable one i even get hug the diablo pizza die perfect amount spice great recommendation sandy can ' wait come back bring friend till 
1667,608,111,1.0,avoid for reason everytime i eat i always get sick the place exactly clean the kitchen look disgust this perhaps worst denny ' restaurant existence we regularly stop choice due family member ' preference horrible horrible restaurant well ... food quality adequate smaller usual portion ... service nonexistent for example : it ' 5 p two employee duty include cook it take 20 30 minute simply get glass water 30 - 45 appetizer 2 - 3 hour full meal ( include time take eat .) if want eat something plan wait to clear fault waitress chronic management problem do favor avoid place go village inn go mcdonald ' go anywhere else the reason denny ' still business senior obviously extremely low standard cannot perceive passage time it ' take 3 hour freak meal unless ' thanksgiving the management staff work restaurant absolutely pride whatsoever they ' pick paycheck work le possible leave denny ' corporation joke luckily manager senior citizen frequent restaurant extremely apathetic ' complain that ' reasonable explanation restaurant still business 
1669,16,49,5.0,we go night fiancé ' birthday the food good make experience great server brayden i former server let tell amaze he genuinely nice care always top thing just seem like really great guy make fiancés birthday great one he even bring two desert end i judge lot place base service service definitely 5 star thanks brayden 
1670,563,204,4.0,sit bar macgyver split chocolate dessert bottle wine listen live music ... lovely 
1676,346,340,4.0,amazing store son ' love fish tank animal display customer service could little friendly but beautiful store 
1678,1246,252,4.0,attended friend ' wed past weekend i cannot say enough great thing i ' speak restaurant since back hall special event wed perfect gorgeous atmosphere scenery there tons space ceremony outdoor cocktail hour reception inside decent size dance floor also felt private restaurant patron around cut plus book i would highly recommend place get hitch now i need come back az i test restaurant 
1681,296,129,5.0,first time visit - definitely ' last delicious vegetable pad thai kung pao chicken egg roll want try everything 
1682,1211,115,4.0,i multiple time enjoy every visit food consistently good service always outstanding my s / o order stuff talapia flavor right enjoy dish he mention green season overall enjoy everything i order lamb chop juicy tender cook hard the sauce absolutely amaze we also get desert funnel cake it maple syrup bacon piece butter popcorn icecream very different ... almost taste like breakfast - yet good we go go lounge tell open thurs saturday 
1684,1045,303,4.0,deeericious fish great little scottish pub ; knowledgable friendly staff nice sense community ( event etc .). good home - style food ; everything make - house include tasty tartar sauce great drink selection good atmosphere i recommend make reservation advance enjoy :) 
1685,1064,334,4.0,the baker rikki trailhead rock wonderful flavor combo cool presentation 
1686,537,24,4.0,ok dinner buffet bad of course judge little bite buzz happy hour drink i earlier the dinner reasonably price especially strip much crab leg want shrimp red meat desire even ' line line go real quick i end 4 crew mate and literally ' seat le 2 minute as picky eater wide assortment different type food 
1689,682,318,5.0,professional super clean high - quality gel manicure claire great entire staff welcome fun will definitely back service i walk early day highly recommend appointment walk - in this place worth extra dollar high quality long - last work 
1692,1262,193,1.0,i ' numerous roy ' location always enjoy food ... unfortunately ' case location ambiance nice great band play patio ... service great ... however food absolute disappointment maybe quality fresh fish az ' thing ?!? but surprise poor quality 4 fish sampler and sushi roll a disappoint experience 
1693,665,145,4.0,after move vegas i ' really find burrito joint around i live my friend recommend place i decide give try yesterday i disappoint i order tuesday special chicken burrito gf nevada burrito taste great i think love nevada burrito steak fry burrito great combo my chicken burrito great $ 3 i love daily special weekday ' awesome try save buck still get great taste portion downside i ' give 5 - star due kitchen size food may take awhile get busy and i notice ' many people call ahead place order go pick place definitely go favorite taco / burrito joint 
1695,1188,215,5.0,my girlfriend i come at least week if miss week fee lose confuse see man angel bartender sparklings absolute gem bartender always friendly personable even know drink order heart definitely recommend pyramid draft beer kenwood red all food great steak salad zucchini stick definitely good compliment drink get so take significant sparklings tell angel favorite couple send well ' probably even see yeah ' serious 
1699,1259,335,5.0,great place good play grind arsenal field 
1700,1109,77,4.0,food excellent & customer service great plenty vegetarian choice 
1702,1156,61,5.0,man oh man i would hang like crazy i live area i grow modern pinball machine always way run mill video game there ' something idiosyncrasy giant mechanical device way feel connect still appeal great deal and stop see blond woman work machine clean place say hello my girlfriend i chat hour stupidly never think ask name oh well ' sweet probably little bore :-) 
1703,34,263,5.0,my family i come wait little bite sushi worth wait we order 7 roll ( fire cracker maki west wood spicy tuna exotic krystal rainbow roll dragon eye wheel fortune [ i post image ]). all sushi good the west wood exotic dragon eye crowd favorite good taste presentation the wheel fortune tasty little difficult eat group rice thick wheel fish avocado top heap pile crab ' need fork dish the service awesome well unsure anything try ask waitstaff 
1704,986,159,4.0,great local spot really good wing the service spotty bad great place hang 
1705,822,238,1.0,bleh the enjoyable part meal odd couple seat next u but food awful we ' never go back since 
1706,1335,49,3.0,dinner ok ... not savor meal veags not somewhere ' eat food good something expect vegas restaurant 
1710,783,290,2.0,we decide take family special treat sunday afternoon 6 u made reservation seat immediately service great big daddy give u great show having eat hibachi ' i give shintos 2 food had jimmy sushi good price i ' care beef base soup broth mushroom green onion salad ginger dress exceptionally cold almost freeze had steak lobster average probably return 
1712,858,345,3.0,customer service contact satisfactory message i ' update review one three star 
1720,932,83,5.0,incredible burger good happy hour price nfl network all within walk distance apartment what i get lucky ?! 
1721,947,378,1.0,i ' even walk door i receive terrible customer service i decide call ask ingredient ( specifically use butter ) possibly substitution husband i ' consume animal product whatsoever man answer tell would right back hang phone i ' bother place refuse even acknowledge simple question phone 
1727,595,241,5.0,excellent vegan option we order shishito pepper start slow crush quickly we order vegan rice dish vegan ramen it ' hard decide one better both dish come pop fresh sprout veggie perfectly cook rice noodle the flavor wonderful i ' know kind mushroom use star show make sure drink lot water later generous salt 3 dish 
1728,1293,1,1.0,i take husband emergency room really bad stomach flu let say horrible experience spent half time wait ' even give husband med anti - nausea doctor say go give wait the nurse bedside manner even wear glove draw husband ' blood also bill u insurance ridiculous amount get i stomach flu week later go southwest medical urgent care 50x better hell hole 
1729,910,353,4.0,finally able try house restaurant it sophisticate atmosphere enjoy relax night guest friend you rush dinner adequate time course the service knowledge waitstaff excellent the restaurant bite pricey definitely special occasion time place for starter shrimp roast corn arizona ricotta toast creekstone filet halibut entree dessert try caramel apple cake goat cheese cake everything cook perfectly wonderful combination flavor dish a great din experience 
1730,423,179,4.0,great brunch breakfast option without buffet wait skillets omelet pancake benedict ' atmosphere casual many tv ' 80 ' music 
1733,1016,102,5.0,holy a must try ' i kangnam dog angry kimchi fry delish !!! 
1736,933,338,5.0,amazing place stopped lunch today walk register greet friendly gentleman happy show place better robertos and food ready even serve u food great it great atmosphere 
1737,742,107,5.0,"we add great yelp - place keeper great food equally great price always wait worth i would love fabulous deli like neighborhood - real deal !"" "
1740,1199,160,5.0,the food amaze love decor if want truly different delicious food experience try empress taytu you leave happy plenty vegetarian option 
1742,588,24,5.0,the finest buffet i ' ever entire life they type seafood fish crab leg lobster shrimp cocktail they kind meat beef lamb venison wow all delicious variety amaze for $ 25 dinner price steal i dream the buffet bellagio day 
1743,289,370,5.0,we new area try peachtree tonight everything great we brisket nacho appetizer - yum fry chicken rib mac cheese green wonderful service great we ' wait go back 
1745,907,246,5.0,maxwells tavern never disappoint the staff absolutely amaze many way extremely fast professional care definitely make sure best experience possible the food hard describe word everything cook perfection desire i know make complicate order mess order maxwell ' tavern far best american / tavern style restaurant i north carolina 
1749,1395,34,4.0,"i love large selection boba option in addition large selection ( i ' never even see ), staff incredibly friendly because first time help select boba flavor top get selection opinion point but make place best extremely low price compare large portion get highly recommend place i definitely stop i ' ever town "
1750,175,288,4.0,one favorite place get brew relax great neighborhood feel always local drink alone bar chat bartender and i ' tell i love place i feel comfortable enough beer without feel like rag alcoholic very mix crowd everyone welcome definitely right mix dive bar neighborhood hangout 
1751,580,188,1.0,checked guest iheart radio staff thehotel aggressively sell u upgrade 2 bedroom suite mandalay when arrive upgrade suite clearly room could sell otherwise the room right tram track close air conditioner vent fan within spit distance park ramp the mandalay staff tell u nothing could leave u star couple acre rooftop full air conditioner listen traffic music voice street it ' bad ' specifically tell u room would high hotel btw not believe glow description suite mandalay at point i would move decent marriott courtyard blink as i type i ' listen air conditioner fan clang outside window really loud music somewhere the room wear clean either you ' warn 
1752,844,112,4.0,good food beer great place game they serve food do people get food different time sounds odd work we share taste different dish the time meal deliver long either i cheddar sausage delicious spicy my husband order pierogi flatbread not bad lightly reminiscent pierogi enjoyed cle pilsner repeater brew there ' indoor outdoor seat 
1755,1254,161,3.0,a nice steakhouse ' standout i enjoy truffle fry 7 layer cake i ' like come back larger group i try dish 
1756,521,69,2.0,just ok not best choice breakfast very limit menu staff slow i ' suggest maybe eat lunch dinner 
1760,1411,152,1.0,my daughter claim night service bad didn ' get order the mochi taste freezer burn we ' back 
1762,1176,255,3.0,i go back day say really impress ... service great speed service amaze ...... order usual ice chai woman take time ask want powder liquid take time explain difference two ... seem know stuff .... right get two croissant drink .... super fast smile staff ... great job management 
1764,290,197,4.0,a wonderful view night time ' free walking display get experience boulevard well - real fun go casino observe the schedule 15 - 20 minute per display ready crowd the street level one best spot get spot near water i recommend bellagio stair view bite distance side good view love extra boom splash water fall back onto pond end pretty neat this definitely one free attraction visit vegas real beautiful sight along vegas night light bring camera memory 
1767,308,199,5.0,on friend bday past june roam las vegas strip ( 100 + degree weather ) look fun casual place celebrate after walk expensive bar i suggest toby keith ' i love bar grill i love toby keith but also love country music once walk i know go great night they play dance music intermission live country band their drink mason jar beer $ 8 serve huge mason jar i order round drink bartender extremely friendly when i order 2nd round shoot i engage coversation mr bartender ask vega way hi i tell friend bday fun red yellow green 7 shoot pour give u free then ask i want try of course i shout hell yess most fun ever pro : great customer service inexpensive drink great music ( live dj ) clean con : bathroom locate outside bar ( right next door ) 
1770,1327,43,1.0,every time i come husband waitress always terrible attitude the food ' great either oh well 
1771,1201,4,1.0,"waited hour despite light crowd sat night food never arrive the waiter say order lose salads never come ... i flag waiter inquire no ownership we get leave wait hour i say don ' bother ""! "
1773,1261,28,4.0,it ' really cute place overprice food great service live music located right heart old montreal girlfriend i decide give shoot right open friday we seat cover terrace band set our server attentive kind help u decide get the drink surprisingly strong especially noon friday my moscow mule nice strong girlfriend really enjoy smoothie we end share bake goat cheese local cheese plate the goat cheese wrap flaky pastry serve pesto sauce red pepper sauce really good the cheese local pretty decent could bigger price you come experience really food all really fun place 
1783,1098,322,5.0,okay i see rave the food awesome i ' say ' tad salty flavor ' good get this gotta best meatloaf world 
1786,1052,37,4.0,absolutely best bbq state i hate ' far wait control every time i go i get brisket wait 45 - 90mins get food only frustrate thing - sometimes run brisket love food !! 
1787,1086,148,5.0,this place chart awesome adorable surprise set - gas station le !! everything barbecue side even ranch dress beyond excellent we definitely back soon !!!! 
1788,571,290,5.0,hands best sushi hibachi chef excellent entertain nice ambiance friendly staff 
1790,218,105,3.0,their reverse happy hour good hungry late even usual appetizer nothing special 
1794,1215,91,5.0,after somehow agree trek halfway across montreal eat lunch vegan restaurant ( still food coma liverpool house night see review ) i come sens realize i need real coffee dessert make thing like cream butter found spot thank large number positive yelp reviews turns ' take cc happy take american dollars we order three completely different item still warm ( 2 : 30 pm ) delicious - even crumb make boulangerie unless stomach coffee also excellent only short stroll ( couple blocks0 metro stop if area i highly recommend 
1796,980,47,2.0,i hear amaze thing restaurant not sure everyone love much the service okay ( horrible ) something ' expect 5 star restaurant the biggest let settle regular bone ribeye i go signature dish ( one market ) 44oz bone ribeye serve bed lobster mac cheese i tell sell shock restaurant empty 6 : 00 skip place many amaze place eat las vegas 
1798,1231,341,5.0,this favorite restaurant las vegas i come least month nearly two year the course start small salad delicious peanut base dress next come vegetable plate include carrot bamboo shoot tofu tofu noodle next come entree i almost always order jack beef shabu shabu offer sukiyaki shrimp chicken pork well the shabu shabu come rice three dip sauce ( spicy sesame peanut ponzu ) the night end perfect scoop ice cream i try shabu shabu restaurant town find others compare taste service shabu shabu paradise i continue come introduce others 
1799,673,75,4.0,good place quick bite eat ... tacos great bloody mary amaze 
1801,887,272,5.0,this place probably favorite restaurant yummiest food i ever the garden chowder die the people also really helpful i definitely recommend go 
1804,908,383,5.0,amazing pizza alert : we previously slice 19 ' pizza house really enjoy last night decide order couple take & bake 12 pizza ' slice 19 ( locate tuscany village @ chimera golf club ). our order include cheese pizza ' the tom ' - pepperoni sausage mushrooms the pizza come thin cook sheet ( place ) crust however nice crispy bottom side cook unlike place cooking direction right pizza super delicious perfect amount top i ' say slice 19 ' pizza way better papa murphys i mention better look ?! the order process easy staff friendly if ' try pizza i highly recommend they also full menu delivery service ' feel like cook 
1805,1123,168,4.0,upscale nice steak excellent drink service pricey ; course expect 
1808,1338,79,5.0,i love place great mixture two kind flavor i usually go pick food lunch break i never wait extra time food ready go pick regardless ' pack trust place get pretty pack my favorite part ' always hot warm hot ' plus especially pick go the gentleman upfront great friendly reg lunch order chicken fry rice jade red chicken pollo diablo machaka 1 / 2 dozen cooky 
1809,1326,202,5.0,"this massage place since ' 08 i become member it take find right therapist i ache need deep pressure right technique although i try therapist i eventually find dave r ., absolute best massage therapist i ' ever - i go see exclusively past year his massage relax efficient time communicate right amount ( little much ), always ask feel ok pressure area work he good people ' person sens person need particular session he particularly good find sore spot go fix i go many time stick neck upper back one session often enough alleviate whatever ache i he pleasant professional talented i highly recommend and good get book lot please schedule bite advance it worth :) a quick word facility beautiful water feature walk classy relax ' always clean music really beautiful relax front desk staff always amaze they always greet first name always attentive question check - / check - i move i miss place lot i hope i find someone good dave r "
1810,373,59,3.0,"we order chicken waffle short rib devil egg bone marrow the chicken ' fry ( enough read ), marrow salty egg mushy the drink also well blend the restaurant form greatness food okay "
1811,654,272,5.0,clean friendly healthy choice fast ( er ) food love open neighborhood even though brand new store staff focus handle lot people without error 
